,news_id,tweet_id,reply_id,tweet_detail,replies_detail
171,206,1243768005097553926,[1243787401262235648],"[datetime.date(2020, 3, 28), 1243768005097553926, 34603349]","[[datetime.date(2020, 3, 28), 1243787401262235648, 71530116]]"
172,206,1243769274688135170,"[1243769571980402689, 1244016759558070273, 1244032516836732935]","[datetime.date(2020, 3, 28), 1243769274688135170, 158569646]","[[datetime.date(2020, 3, 28), 1243769571980402689, 158569646], [datetime.date(2020, 3, 28), 1244016759558070273, 152862750], [datetime.date(2020, 3, 28), 1244032516836732935, 222872368]]"
173,206,1243769529898946560,"[1243769940563247106, 1243770612490711041]","[datetime.date(2020, 3, 28), 1243769529898946560, 539586889]","[[datetime.date(2020, 3, 28), 1243769940563247106, 539586889], [datetime.date(2020, 3, 28), 1243770612490711041, 539586889]]"
174,206,1243776240676270086,[1243804747435397122],"[datetime.date(2020, 3, 28), 1243776240676270086, 234781762]","[[datetime.date(2020, 3, 28), 1243804747435397122, 1196994563988000769]]"
175,206,1243786440158265345,[1243788019200638976],"[datetime.date(2020, 3, 28), 1243786440158265345, 871004185092739073]","[[datetime.date(2020, 3, 28), 1243788019200638976, 936354315836493824]]"
176,206,1243798518357245952,[1243831508357414913],"[datetime.date(2020, 3, 28), 1243798518357245952, 150803372]","[[datetime.date(2020, 3, 28), 1243831508357414913, 1213238538847653889]]"
177,206,1243806686290137088,"[1244628049540218883, 1243808556035362816, 1243809388017541120, 1243924208763244544, 1243810702529355776, 1243824482252439552, 1244062234046799873, 1244145632937414657, 1243925625678647296, 1243988225175236609, 1244088312891088896, 1243833344351260674, 1243974235502129152, 1243830369092132864, 1243870093949333504, 1243878452001796101, 1244086586427551744, 1244032314830708739, 1243828720483196928, 1244008347092824066]","[datetime.date(2020, 3, 28), 1243806686290137088, 943935260936556544]","[[datetime.date(2020, 3, 28), 1243808556035362816, 965474480423239681], [datetime.date(2020, 3, 28), 1243809388017541120, 943935260936556544], [datetime.date(2020, 3, 28), 1243810702529355776, 1214350088341991424], [datetime.date(2020, 3, 28), 1243824482252439552, 70248821], [datetime.date(2020, 3, 28), 1243828720483196928, 263110741], [datetime.date(2020, 3, 28), 1243830369092132864, 27413945], [datetime.date(2020, 3, 28), 1243833344351260674, 1141918026478030848], [datetime.date(2020, 3, 28), 1243870093949333504, 758984838682554368], [datetime.date(2020, 3, 28), 1243878452001796101, 1227204036446883840], [datetime.date(2020, 3, 28), 1243924208763244544, 1150918773949566976], [datetime.date(2020, 3, 28), 1243925625678647296, 1128716862047412225], [datetime.date(2020, 3, 28), 1243974235502129152, 956612771768086528], [datetime.date(2020, 3, 28), 1243988225175236609, 998844890699259904], [datetime.date(2020, 3, 28), 1244008347092824066, 1459093748], [datetime.date(2020, 3, 28), 1244032314830708739, 55130160], [datetime.date(2020, 3, 29), 1244062234046799873, 1018117529531797506], [datetime.date(2020, 3, 29), 1244086586427551744, 1229161716392611840], [datetime.date(2020, 3, 29), 1244088312891088896, 1229161716392611840], [datetime.date(2020, 3, 29), 1244145632937414657, 881161663034032128], [datetime.date(2020, 3, 30), 1244628049540218883, 943935260936556544]]"
178,206,1243809085000163328,[1243809088720506880],"[datetime.date(2020, 3, 28), 1243809085000163328, 1243602926813294594]","[[datetime.date(2020, 3, 28), 1243809088720506880, 1243602926813294594]]"
179,206,1243820275998711808,[1243821073956814848],"[datetime.date(2020, 3, 28), 1243820275998711808, 1092072070220009472]","[[datetime.date(2020, 3, 28), 1243821073956814848, 869560026]]"
180,206,1243833332422643712,[1243876368108183552],"[datetime.date(2020, 3, 28), 1243833332422643712, 28359478]","[[datetime.date(2020, 3, 28), 1243876368108183552, 493943203]]"
181,206,1243836401357131776,"[1243839811162648578, 1243876295886462976, 1243876807239249920]","[datetime.date(2020, 3, 28), 1243836401357131776, 579414663]","[[datetime.date(2020, 3, 28), 1243839811162648578, 579414663], [datetime.date(2020, 3, 28), 1243876295886462976, 493943203], [datetime.date(2020, 3, 28), 1243876807239249920, 579414663]]"
182,206,1243836679447646208,"[1243842989908099073, 1243861844273459201, 1243838931247890433, 1243862062641459200]","[datetime.date(2020, 3, 28), 1243836679447646208, 99620868]","[[datetime.date(2020, 3, 28), 1243838931247890433, 1219795427798605824], [datetime.date(2020, 3, 28), 1243842989908099073, 824117713115168768], [datetime.date(2020, 3, 28), 1243861844273459201, 99620868], [datetime.date(2020, 3, 28), 1243862062641459200, 99620868]]"
183,206,1243847074195668992,"[1243877437278167041, 1243848912487829505, 1243860100932141056]","[datetime.date(2020, 3, 28), 1243847074195668992, 48531794]","[[datetime.date(2020, 3, 28), 1243848912487829505, 888576673876246528], [datetime.date(2020, 3, 28), 1243860100932141056, 62087377], [datetime.date(2020, 3, 28), 1243877437278167041, 63730093]]"
184,206,1243852031368015873,"[1243875643839873025, 1243877086130995200]","[datetime.date(2020, 3, 28), 1243852031368015873, 79197327]","[[datetime.date(2020, 3, 28), 1243875643839873025, 493943203], [datetime.date(2020, 3, 28), 1243877086130995200, 79197327]]"
185,206,1243877518136037377,[1243876856216145921],"[datetime.date(2020, 3, 28), 1243877518136037377, 1021316399476637696]","[[datetime.date(2020, 3, 28), 1243876856216145921, 1944846144]]"
186,206,1243888587919298561,[1243890190025973760],"[datetime.date(2020, 3, 28), 1243888587919298561, 488337277]","[[datetime.date(2020, 3, 28), 1243890190025973760, 249325367]]"
187,206,1243892156085014528,[1243894580690501632],"[datetime.date(2020, 3, 28), 1243892156085014528, 1177655149025726465]","[[datetime.date(2020, 3, 28), 1243894580690501632, 3817813341]]"
188,206,1243895865619734529,[1243904621006983170],"[datetime.date(2020, 3, 28), 1243895865619734529, 23082424]","[[datetime.date(2020, 3, 28), 1243904621006983170, 23082424]]"
189,206,1243903201759440903,"[1243908376104402951, 1243909309152591872]","[datetime.date(2020, 3, 28), 1243903201759440903, 4558416497]","[[datetime.date(2020, 3, 28), 1243908376104402951, 394087620], [datetime.date(2020, 3, 28), 1243909309152591872, 4558416497]]"
190,206,1243910727292903424,"[1243954853686267904, 1243975769254236163]","[datetime.date(2020, 3, 28), 1243910727292903424, 776878312815812608]","[[datetime.date(2020, 3, 28), 1243954853686267904, 1225192191670267904], [datetime.date(2020, 3, 28), 1243975769254236163, 4163402483]]"
191,206,1243911813944627202,[1243928034555695104],"[datetime.date(2020, 3, 28), 1243911813944627202, 3257619338]","[[datetime.date(2020, 3, 28), 1243928034555695104, 2173547807]]"
192,206,1243931678092840961,"[1243932109678338048, 1243932240020553730]","[datetime.date(2020, 3, 28), 1243931678092840961, 164251468]","[[datetime.date(2020, 3, 28), 1243932109678338048, 164251468], [datetime.date(2020, 3, 28), 1243932240020553730, 164251468]]"
193,206,1243942387996655617,[1243958243283488769],"[datetime.date(2020, 3, 28), 1243942387996655617, 448353068]","[[datetime.date(2020, 3, 28), 1243958243283488769, 311696609]]"
194,206,1243965852690665472,"[1243980899785437184, 1243990172821327873, 1243968558213840896, 1243966373778395136, 1243996718015930369, 1243966451599491072]","[datetime.date(2020, 3, 28), 1243965852690665472, 351860420]","[[datetime.date(2020, 3, 28), 1243966373778395136, 2779485837], [datetime.date(2020, 3, 28), 1243966451599491072, 1169644826], [datetime.date(2020, 3, 28), 1243968558213840896, 1109872713601044485], [datetime.date(2020, 3, 28), 1243980899785437184, 285404842], [datetime.date(2020, 3, 28), 1243990172821327873, 351860420], [datetime.date(2020, 3, 28), 1243996718015930369, 582665742]]"
195,206,1244001150548021249,"[1244001240071188480, 1244036275402874883, 1244340217953300482]","[datetime.date(2020, 3, 28), 1244001150548021249, 445748390]","[[datetime.date(2020, 3, 28), 1244001240071188480, 53788262], [datetime.date(2020, 3, 28), 1244036275402874883, 21896480], [datetime.date(2020, 3, 29), 1244340217953300482, 2320001635]]"
196,206,1244005596073996288,"[1244032702455721989, 1244039281120882694, 1244064383698751488, 1244009265750331393, 1244028791405645825, 1244023602284027905, 1244034560528171010, 1244030606671052806, 1244010773669699585, 1244052428644810752, 1244021776000180224, 1244032988050075648, 1244137731325861888]","[datetime.date(2020, 3, 28), 1244005596073996288, 582117329]","[[datetime.date(2020, 3, 28), 1244009265750331393, 770530736], [datetime.date(2020, 3, 28), 1244010773669699585, 515776993], [datetime.date(2020, 3, 28), 1244021776000180224, 199069132], [datetime.date(2020, 3, 28), 1244023602284027905, 172885668], [datetime.date(2020, 3, 28), 1244028791405645825, 1127885546917912576], [datetime.date(2020, 3, 28), 1244030606671052806, 1275626432], [datetime.date(2020, 3, 28), 1244032702455721989, 317426300], [datetime.date(2020, 3, 28), 1244032988050075648, 2416511136], [datetime.date(2020, 3, 28), 1244034560528171010, 923447899907919872], [datetime.date(2020, 3, 28), 1244039281120882694, 3811794507], [datetime.date(2020, 3, 29), 1244052428644810752, 1242557031334248450], [datetime.date(2020, 3, 29), 1244064383698751488, 784563458], [datetime.date(2020, 3, 29), 1244137731325861888, 596708695]]"
197,206,1244025616858591233,[1244026190786105345],"[datetime.date(2020, 3, 28), 1244025616858591233, 204451381]","[[datetime.date(2020, 3, 28), 1244026190786105345, 825558810]]"
198,206,1244080031074332677,"[1244259090659979265, 1244259483624312834, 1244081160067612673, 1244086312199741440]","[datetime.date(2020, 3, 29), 1244080031074332677, 175205118]","[[datetime.date(2020, 3, 29), 1244081160067612673, 1123929660201623553], [datetime.date(2020, 3, 29), 1244086312199741440, 105916239], [datetime.date(2020, 3, 29), 1244259090659979265, 17394511], [datetime.date(2020, 3, 29), 1244259483624312834, 175205118]]"
199,206,1244092403126013952,"[1244097312504320000, 1244097534919925760]","[datetime.date(2020, 3, 29), 1244092403126013952, 1620711866]","[[datetime.date(2020, 3, 29), 1244097312504320000, 579281513], [datetime.date(2020, 3, 29), 1244097534919925760, 1620711866]]"
200,206,1244094829371539459,"[1244102125300273155, 1244110894096887808]","[datetime.date(2020, 3, 29), 1244094829371539459, 35606154]","[[datetime.date(2020, 3, 29), 1244102125300273155, 744239370], [datetime.date(2020, 3, 29), 1244110894096887808, 66171696]]"
201,206,1244115615758970880,"[1243316152056463362, 1243571449362673664, 1244116562585489413, 1244236925541720067]","[datetime.date(2020, 3, 29), 1244115615758970880, 18416467]","[[datetime.date(2020, 3, 26), 1243316152056463362, 3192820596], [datetime.date(2020, 3, 27), 1243571449362673664, 2546682403], [datetime.date(2020, 3, 29), 1244116562585489413, 2388542496], [datetime.date(2020, 3, 29), 1244236925541720067, 62595184]]"
202,206,1244311307009945600,[1244316684346851328],"[datetime.date(2020, 3, 29), 1244311307009945600, 281207577]","[[datetime.date(2020, 3, 29), 1244316684346851328, 894638716878245888]]"
203,253,1242502448004173827,[1242516031370866689],"[datetime.date(2020, 3, 24), 1242502448004173827, 12802942]","[[datetime.date(2020, 3, 24), 1242516031370866689, 20702633]]"
204,253,1242511823246708736,[1242524894069288961],"[datetime.date(2020, 3, 24), 1242511823246708736, 792723840405233672]","[[datetime.date(2020, 3, 24), 1242524894069288961, 30901658]]"
205,253,1242516299185639426,"[1242517304082128897, 1242518167576084481]","[datetime.date(2020, 3, 24), 1242516299185639426, 866157062]","[[datetime.date(2020, 3, 24), 1242517304082128897, 524188147], [datetime.date(2020, 3, 24), 1242518167576084481, 866157062]]"
206,253,1242565629397405696,[1242567589554819072],"[datetime.date(2020, 3, 24), 1242565629397405696, 19711691]","[[datetime.date(2020, 3, 24), 1242567589554819072, 974003043610972161]]"
207,253,1242607937501216768,"[1242609144110018560, 1242614247965761536]","[datetime.date(2020, 3, 25), 1242607937501216768, 3436401064]","[[datetime.date(2020, 3, 25), 1242609144110018560, 8883722], [datetime.date(2020, 3, 25), 1242614247965761536, 637226743]]"
208,253,1242612462530134016,[1242613956239212545],"[datetime.date(2020, 3, 25), 1242612462530134016, 184682609]","[[datetime.date(2020, 3, 25), 1242613956239212545, 184682609]]"
209,253,1242612913484906496,"[1242599683412787201, 1242861943209132033]","[datetime.date(2020, 3, 25), 1242612913484906496, 1935335732]","[[datetime.date(2020, 3, 24), 1242599683412787201, 1069697383829651456], [datetime.date(2020, 3, 25), 1242861943209132033, 2923216664]]"
210,253,1243120742444797953,[1243260202234888193],"[datetime.date(2020, 3, 26), 1243120742444797953, 21558596]","[[datetime.date(2020, 3, 26), 1243260202234888193, 541080006]]"
211,253,1243295855576256516,[1243543638132621315],"[datetime.date(2020, 3, 26), 1243295855576256516, 21604276]","[[datetime.date(2020, 3, 27), 1243543638132621315, 840720613]]"
212,253,1243319308379439104,"[1243320103900532742, 1243424827685228544]","[datetime.date(2020, 3, 26), 1243319308379439104, 62423890]","[[datetime.date(2020, 3, 26), 1243320103900532742, 62423890], [datetime.date(2020, 3, 27), 1243424827685228544, 62423890]]"
213,253,1243556194809233408,"[1243531792524742657, 1243535719085289472, 1243577782929686531, 1243578357918425100, 1243665172138471432, 1243665702097125378]","[datetime.date(2020, 3, 27), 1243556194809233408, 77041745]","[[datetime.date(2020, 3, 27), 1243531792524742657, 787763965], [datetime.date(2020, 3, 27), 1243535719085289472, 863988380], [datetime.date(2020, 3, 27), 1243577782929686531, 863988380], [datetime.date(2020, 3, 27), 1243578357918425100, 787763965], [datetime.date(2020, 3, 27), 1243665172138471432, 293773004], [datetime.date(2020, 3, 27), 1243665702097125378, 77041745]]"
214,253,1247399211655544833,"[1247259977225342977, 1247339829626458113, 1247344183800561664, 1247352345194721280, 1247798508171587586, 1247930418252238848]","[datetime.date(2020, 4, 7), 1247399211655544833, 49473571]","[[datetime.date(2020, 4, 6), 1247259977225342977, 1352962327], [datetime.date(2020, 4, 7), 1247339829626458113, 17095872], [datetime.date(2020, 4, 7), 1247344183800561664, 49473571], [datetime.date(2020, 4, 7), 1247352345194721280, 17095872], [datetime.date(2020, 4, 8), 1247798508171587586, 185376541], [datetime.date(2020, 4, 8), 1247930418252238848, 17095872]]"
215,253,1250297607357755393,[1250298840206299139],"[datetime.date(2020, 4, 15), 1250297607357755393, 1074555611902341120]","[[datetime.date(2020, 4, 15), 1250298840206299139, 2506834959]]"
216,297,1241411084420091904,[1242162046939975682],"[datetime.date(2020, 3, 21), 1241411084420091904, 142033532]","[[datetime.date(2020, 3, 23), 1242162046939975682, 622494441]]"
217,297,1241594387651534848,[1241600396549935111],"[datetime.date(2020, 3, 22), 1241594387651534848, 17488996]","[[datetime.date(2020, 3, 22), 1241600396549935111, 484129047]]"
218,297,1241701639939141632,[1241715273478144002],"[datetime.date(2020, 3, 22), 1241701639939141632, 1188553181460078592]","[[datetime.date(2020, 3, 22), 1241715273478144002, 3246786639]]"
219,297,1241712142933463046,"[1241727065830969351, 1241727983519510530]","[datetime.date(2020, 3, 22), 1241712142933463046, 262325178]","[[datetime.date(2020, 3, 22), 1241727065830969351, 3505474155], [datetime.date(2020, 3, 22), 1241727983519510530, 262325178]]"
220,297,1241722951281577990,"[1241735380476575745, 1241747409404911616]","[datetime.date(2020, 3, 22), 1241722951281577990, 41681014]","[[datetime.date(2020, 3, 22), 1241735380476575745, 12210632], [datetime.date(2020, 3, 22), 1241747409404911616, 41681014]]"
221,297,1241748603355435012,"[1241749449128509440, 1241749290076098561]","[datetime.date(2020, 3, 22), 1241748603355435012, 1117982160]","[[datetime.date(2020, 3, 22), 1241749290076098561, 103891758], [datetime.date(2020, 3, 22), 1241749449128509440, 1117982160]]"
222,297,1241789036567633931,[1241789496955416582],"[datetime.date(2020, 3, 22), 1241789036567633931, 210787321]","[[datetime.date(2020, 3, 22), 1241789496955416582, 295598931]]"
223,297,1241798833874632708,"[1241799503457538049, 1241802146909167616]","[datetime.date(2020, 3, 22), 1241798833874632708, 257410956]","[[datetime.date(2020, 3, 22), 1241799503457538049, 257410956], [datetime.date(2020, 3, 22), 1241802146909167616, 257410956]]"
224,297,1241806263333371904,"[1241855082548912130, 1241853466999472131]","[datetime.date(2020, 3, 22), 1241806263333371904, 90966992]","[[datetime.date(2020, 3, 22), 1241853466999472131, 43386025], [datetime.date(2020, 3, 22), 1241855082548912130, 90966992]]"
225,297,1241809934997749762,"[1241855862391689221, 1241826001690099712, 1241855135049007105, 1241811185420378112, 1242018134804049922, 1244223931289989120]","[datetime.date(2020, 3, 22), 1241809934997749762, 1015391817704050688]","[[datetime.date(2020, 3, 22), 1241811185420378112, 5429972], [datetime.date(2020, 3, 22), 1241826001690099712, 143574971], [datetime.date(2020, 3, 22), 1241855135049007105, 727690291], [datetime.date(2020, 3, 22), 1241855862391689221, 1015391817704050688], [datetime.date(2020, 3, 23), 1242018134804049922, 5429972], [datetime.date(2020, 3, 29), 1244223931289989120, 1241594552458199040]]"
226,297,1241845072552955904,[1241930816629899267],"[datetime.date(2020, 3, 22), 1241845072552955904, 86034144]","[[datetime.date(2020, 3, 23), 1241930816629899267, 81092484]]"
227,297,1241958248816631813,[1241965010877689856],"[datetime.date(2020, 3, 23), 1241958248816631813, 74019254]","[[datetime.date(2020, 3, 23), 1241965010877689856, 847358832]]"
228,297,1241984420048855040,"[1242104627706728455, 1242129835562078211]","[datetime.date(2020, 3, 23), 1241984420048855040, 22342880]","[[datetime.date(2020, 3, 23), 1242104627706728455, 35771875], [datetime.date(2020, 3, 23), 1242129835562078211, 523465192]]"
229,297,1241987689143992320,"[1241988201474134016, 1241989342266081290, 1242001695464251393]","[datetime.date(2020, 3, 23), 1241987689143992320, 867675096395038720]","[[datetime.date(2020, 3, 23), 1241988201474134016, 3009855498], [datetime.date(2020, 3, 23), 1241989342266081290, 867675096395038720], [datetime.date(2020, 3, 23), 1242001695464251393, 48639427]]"
230,297,1242063359048024067,[1242063360969105410],"[datetime.date(2020, 3, 23), 1242063359048024067, 3996407181]","[[datetime.date(2020, 3, 23), 1242063360969105410, 3996407181]]"
231,297,1242067027633856518,[1242094420478083074],"[datetime.date(2020, 3, 23), 1242067027633856518, 84067065]","[[datetime.date(2020, 3, 23), 1242094420478083074, 75213055]]"
232,297,1242069079436840960,"[1242072199445397504, 1242070853715505152, 1242072134811176960]","[datetime.date(2020, 3, 23), 1242069079436840960, 164969324]","[[datetime.date(2020, 3, 23), 1242070853715505152, 2378914268], [datetime.date(2020, 3, 23), 1242072134811176960, 164969324], [datetime.date(2020, 3, 23), 1242072199445397504, 164969324]]"
233,297,1242073578347982849,[1242075283701694465],"[datetime.date(2020, 3, 23), 1242073578347982849, 710585018]","[[datetime.date(2020, 3, 23), 1242075283701694465, 760343575083089920]]"
234,297,1242082387170861056,"[1242104919760478210, 1242177708097810433, 1242084315309182976, 1242152680362999812, 1242222294363189251, 1242287184058687490, 1242327075811254272, 1242329123373998080, 1242083237381447680, 1242088860093423619]","[datetime.date(2020, 3, 23), 1242082387170861056, 40247252]","[[datetime.date(2020, 3, 23), 1242083237381447680, 973461560281747456], [datetime.date(2020, 3, 23), 1242084315309182976, 406004791], [datetime.date(2020, 3, 23), 1242088860093423619, 1662453180], [datetime.date(2020, 3, 23), 1242104919760478210, 338059233], [datetime.date(2020, 3, 23), 1242152680362999812, 1130946067355316225], [datetime.date(2020, 3, 23), 1242177708097810433, 913765146790465536], [datetime.date(2020, 3, 23), 1242222294363189251, 2734918937], [datetime.date(2020, 3, 24), 1242287184058687490, 3049669477], [datetime.date(2020, 3, 24), 1242327075811254272, 2872509200], [datetime.date(2020, 3, 24), 1242329123373998080, 2872509200]]"
235,297,1242093333272506369,"[1242097862881636359, 1242095746888892417, 1242144891129430016, 1242103982803189760]","[datetime.date(2020, 3, 23), 1242093333272506369, 43654274]","[[datetime.date(2020, 3, 23), 1242095746888892417, 1189987432957120512], [datetime.date(2020, 3, 23), 1242097862881636359, 996362211646783488], [datetime.date(2020, 3, 23), 1242103982803189760, 88711374], [datetime.date(2020, 3, 23), 1242144891129430016, 14186246]]"
236,297,1242094807297777665,"[1242098751122092035, 1242099081260019717, 1242098978319196169, 1242154488607256578, 1242101978626433030, 1242102089398063105, 1242107212878798851, 1242108950843142145, 1242113715895513089, 1242156733428125696, 1242158299782492178, 1242104588116901893, 1242095996076777472, 1242098796697452544]","[datetime.date(2020, 3, 23), 1242094807297777665, 429902840]","[[datetime.date(2020, 3, 23), 1242095996076777472, 65009032], [datetime.date(2020, 3, 23), 1242098751122092035, 3196039038], [datetime.date(2020, 3, 23), 1242098796697452544, 65009032], [datetime.date(2020, 3, 23), 1242098978319196169, 65009032], [datetime.date(2020, 3, 23), 1242099081260019717, 429902840], [datetime.date(2020, 3, 23), 1242101978626433030, 308931591], [datetime.date(2020, 3, 23), 1242102089398063105, 308931591], [datetime.date(2020, 3, 23), 1242104588116901893, 436069050], [datetime.date(2020, 3, 23), 1242107212878798851, 50001748], [datetime.date(2020, 3, 23), 1242108950843142145, 365870031], [datetime.date(2020, 3, 23), 1242113715895513089, 915501644565090304], [datetime.date(2020, 3, 23), 1242154488607256578, 429902840], [datetime.date(2020, 3, 23), 1242156733428125696, 2915947060], [datetime.date(2020, 3, 23), 1242158299782492178, 1101578381886398464]]"
237,297,1242107964548407301,"[1242124608230359040, 1242128238899613697]","[datetime.date(2020, 3, 23), 1242107964548407301, 435969419]","[[datetime.date(2020, 3, 23), 1242124608230359040, 3148555467], [datetime.date(2020, 3, 23), 1242128238899613697, 435969419]]"
238,297,1242117320794931208,"[1242371409780842497, 1242313094740705280, 1242347139243655168, 1242407625586851841, 1242338797196623873, 1242369050514202624, 1242379854424743936, 1242856088862707712, 1242382330032984065, 1242385831073124352, 1242419645719744512, 1242856858425208837, 1242413091427581953, 1242857500204044288, 1242367616381071360, 1242187884872044544, 1242367252999090177]","[datetime.date(2020, 3, 23), 1242117320794931208, 251151061]","[[datetime.date(2020, 3, 23), 1242187884872044544, 1231346492889354241], [datetime.date(2020, 3, 24), 1242313094740705280, 232487308], [datetime.date(2020, 3, 24), 1242338797196623873, 99004536], [datetime.date(2020, 3, 24), 1242347139243655168, 1104524430611488768], [datetime.date(2020, 3, 24), 1242367252999090177, 347724493], [datetime.date(2020, 3, 24), 1242367616381071360, 713075136], [datetime.date(2020, 3, 24), 1242369050514202624, 42972846], [datetime.date(2020, 3, 24), 1242371409780842497, 868003567], [datetime.date(2020, 3, 24), 1242379854424743936, 230000822], [datetime.date(2020, 3, 24), 1242382330032984065, 350415476], [datetime.date(2020, 3, 24), 1242385831073124352, 23950973], [datetime.date(2020, 3, 24), 1242407625586851841, 801468383845842945], [datetime.date(2020, 3, 24), 1242413091427581953, 173380621], [datetime.date(2020, 3, 24), 1242419645719744512, 1224630766358999040], [datetime.date(2020, 3, 25), 1242856088862707712, 722761620875644928], [datetime.date(2020, 3, 25), 1242856858425208837, 722761620875644928], [datetime.date(2020, 3, 25), 1242857500204044288, 722761620875644928]]"
239,297,1242119219824787457,"[1242126407720931335, 1242128256452739072]","[datetime.date(2020, 3, 23), 1242119219824787457, 17909356]","[[datetime.date(2020, 3, 23), 1242126407720931335, 2559197462], [datetime.date(2020, 3, 23), 1242128256452739072, 17909356]]"
240,297,1242154112398938116,[1242154515597426693],"[datetime.date(2020, 3, 23), 1242154112398938116, 340062113]","[[datetime.date(2020, 3, 23), 1242154515597426693, 340062113]]"
241,297,1242160984661385218,"[1242161637479649281, 1242174596654215169, 1242179136011018241, 1242162929522184192]","[datetime.date(2020, 3, 23), 1242160984661385218, 99270213]","[[datetime.date(2020, 3, 23), 1242161637479649281, 118066970], [datetime.date(2020, 3, 23), 1242162929522184192, 242239428], [datetime.date(2020, 3, 23), 1242174596654215169, 445737634], [datetime.date(2020, 3, 23), 1242179136011018241, 1208863930547933185]]"
242,297,1242164238556319752,[1242164244549959682],"[datetime.date(2020, 3, 23), 1242164238556319752, 968041093123190784]","[[datetime.date(2020, 3, 23), 1242164244549959682, 968041093123190784]]"
243,297,1242172479604494336,"[1242255549737119744, 1242173348425142275, 1242223182867648512, 1242527226974875650, 1242198305158782976, 1242200374221639682, 1242412102071062528]","[datetime.date(2020, 3, 23), 1242172479604494336, 985610131]","[[datetime.date(2020, 3, 23), 1242173348425142275, 813585633142657024], [datetime.date(2020, 3, 23), 1242198305158782976, 73210567], [datetime.date(2020, 3, 23), 1242200374221639682, 794230737578835968], [datetime.date(2020, 3, 23), 1242223182867648512, 3365113983], [datetime.date(2020, 3, 24), 1242255549737119744, 985610131], [datetime.date(2020, 3, 24), 1242412102071062528, 1074058434805407745], [datetime.date(2020, 3, 24), 1242527226974875650, 58891300]]"
244,297,1242190499336904705,"[1242329046538571776, 1242353490959138816, 1242332910977462274]","[datetime.date(2020, 3, 23), 1242190499336904705, 95662194]","[[datetime.date(2020, 3, 24), 1242329046538571776, 370247730], [datetime.date(2020, 3, 24), 1242332910977462274, 16280782], [datetime.date(2020, 3, 24), 1242353490959138816, 95662194]]"
245,297,1242194099094126592,"[1242194563571343366, 1242194901141463043]","[datetime.date(2020, 3, 23), 1242194099094126592, 26866991]","[[datetime.date(2020, 3, 23), 1242194563571343366, 1000462467816968192], [datetime.date(2020, 3, 23), 1242194901141463043, 1000462467816968192]]"
246,297,1242218699211358208,[1242488833297571847],"[datetime.date(2020, 3, 23), 1242218699211358208, 464141792]","[[datetime.date(2020, 3, 24), 1242488833297571847, 1082792192643682304]]"
247,297,1242252649241677825,"[1242312998154199040, 1242326987688955905, 1242633032554573825, 1242266125532049408, 1242288438633795593, 1242289694496489473, 1242367311081766912, 1242503362995793925, 1242273286643474438, 1242278633164746752, 1242316122243739648, 1242328873649541120, 1242346156224475137, 1242425781298565125, 1242435778220904448, 1242438645929455617, 1242496918070145030, 1242274452420747264, 1242292876408582144, 1242406520828178435, 1242295044230397957, 1242301200705429504, 1242455009515786240]","[datetime.date(2020, 3, 24), 1242252649241677825, 120325121]","[[datetime.date(2020, 3, 24), 1242266125532049408, 815662832918364160], [datetime.date(2020, 3, 24), 1242273286643474438, 25111140], [datetime.date(2020, 3, 24), 1242274452420747264, 389852383], [datetime.date(2020, 3, 24), 1242278633164746752, 380984287], [datetime.date(2020, 3, 24), 1242288438633795593, 46255701], [datetime.date(2020, 3, 24), 1242289694496489473, 233021699], [datetime.date(2020, 3, 24), 1242292876408582144, 816467746233860096], [datetime.date(2020, 3, 24), 1242295044230397957, 981393869794312192], [datetime.date(2020, 3, 24), 1242301200705429504, 1226101147972313088], [datetime.date(2020, 3, 24), 1242312998154199040, 897299697274048512], [datetime.date(2020, 3, 24), 1242316122243739648, 1209256089264513025], [datetime.date(2020, 3, 24), 1242326987688955905, 2209347782], [datetime.date(2020, 3, 24), 1242328873649541120, 1234880085267828741], [datetime.date(2020, 3, 24), 1242346156224475137, 1185945955633254401], [datetime.date(2020, 3, 24), 1242367311081766912, 400090211], [datetime.date(2020, 3, 24), 1242406520828178435, 1217290536396238848], [datetime.date(2020, 3, 24), 1242425781298565125, 1034520372568313856], [datetime.date(2020, 3, 24), 1242435778220904448, 459649112], [datetime.date(2020, 3, 24), 1242438645929455617, 759194669452521472], [datetime.date(2020, 3, 24), 1242455009515786240, 187722717], [datetime.date(2020, 3, 24), 1242496918070145030, 18038813], [datetime.date(2020, 3, 24), 1242503362995793925, 2823650596], [datetime.date(2020, 3, 25), 1242633032554573825, 14572208]]"
248,297,1242414017525710849,"[1242416472418369537, 1242415650737287169]","[datetime.date(2020, 3, 24), 1242414017525710849, 14744498]","[[datetime.date(2020, 3, 24), 1242415650737287169, 50709790], [datetime.date(2020, 3, 24), 1242416472418369537, 14744498]]"
249,297,1242456923615657992,"[1242516910866137097, 1242458086218117126]","[datetime.date(2020, 3, 24), 1242456923615657992, 755399599]","[[datetime.date(2020, 3, 24), 1242458086218117126, 1004813992957763586], [datetime.date(2020, 3, 24), 1242516910866137097, 988065574021459968]]"
250,297,1242470718681559040,"[1242471767412600832, 1242472416296787970]","[datetime.date(2020, 3, 24), 1242470718681559040, 1156912765912719365]","[[datetime.date(2020, 3, 24), 1242471767412600832, 340992365], [datetime.date(2020, 3, 24), 1242472416296787970, 1156912765912719365]]"
